Column,Row,Year,Total,Abbreviation
3.5,4,2006,0.032,CO
3.5,4,2007,0.021,CO
3.5,4,2008,0.04,CO
3.5,4,2009,0.039,CO
3.5,4,2010,0.048,CO
3.5,4,2011,0.04,CO
3.5,4,2012,0.034,CO
3.5,4,2013,0.032,CO
3.5,4,2014,0.03,CO
3.5,4,2015,0.018,CO
3.5,4,2016,0.023,CO
3.5,4,2017,0.017,CO
3.5,6,2002,0.047,NM
3.5,6,2003,0.053,NM
3.5,6,2004,0.055,NM
3.5,6,2005,0.036,NM
3.5,6,2006,0.032,NM
3.5,6,2007,0.023,NM
3.5,6,2008,0.026,NM
3.5,6,2009,0.047,NM
3.5,6,2010,0.055,NM
3.5,6,2011,0.044,NM
3.5,6,2012,0.047,NM
3.5,6,2013,0.043,NM
3.5,6,2014,0.031,NM
3.5,6,2015,0.031,NM
3.5,6,2016,0.027,NM
3.5,6,2017,0.027,NM
4,3,2002,0.03,SD
4,3,2003,0.034,SD
4,3,2004,0.035,SD
4,3,2005,0.038,SD
4,3,2006,0.025,SD
4,3,2007,0.025,SD
4,3,2008,0.023,SD
4,3,2009,0.051,SD
4,3,2010,0.058,SD
4,3,2011,0.051,SD
4,3,2012,0.047,SD
4,3,2013,0.047,SD
4,3,2014,0.045,SD
4,3,2015,0.024,SD
4,3,2016,0.016,SD
4,3,2017,0.018,SD
4,5,2002,0.026,UT
4,5,2003,0.029,UT
4,5,2004,0.028,UT
4,5,2005,0.024,UT
4,5,2006,0.023,UT
4,5,2007,0.015,UT
4,5,2008,0.024,UT
4,5,2009,0.042,UT
4,5,2010,0.061,UT
4,5,2011,0.046,UT
4,5,2012,0.049,UT
4,5,2013,0.047,UT
4,5,2014,0.039,UT
4,5,2015,0.033,UT
4,5,2016,0.027,UT
4,5,2017,0.024,UT
4,7,2002,0.041,TX
4,7,2003,0.045,TX
4,7,2004,0.037,TX
4,7,2005,0.032,TX
4,7,2006,0.03,TX
4,7,2007,0.04,TX
4,7,2008,0.047,TX
4,7,2009,0.085,TX
4,7,2010,0.095,TX
4,7,2011,0.08,TX
4,7,2012,0.075,TX
4,7,2013,0.064,TX
4,7,2014,0.057,TX
4,7,2015,0.047,TX
4,7,2016,0.039,TX
4,7,2017,0.031,TX
4.5,2,2002,0.02,MN
4.5,2,2003,0.021,MN
4.5,2,2004,0.02,MN
4.5,2,2005,0.018,MN
4.5,2,2006,0.008,MN
4.5,2,2007,0.013,MN
4.5,2,2008,0.026,MN
4.5,2,2009,0.052,MN
4.5,2,2010,0.06,MN
4.5,2,2011,0.051,MN
4.5,2,2012,0.039,MN
4.5,2,2013,0.042,MN
4.5,2,2014,0.033,MN
4.5,2,2015,0.016,MN
4.5,2,2016,0.012,MN
4.5,2,2017,0.009,MN
4.5,4,2002,0.035,NE
4.5,4,2003,0.034,NE
4.5,4,2004,0.029,NE
4.5,4,2005,0.031,NE
4.5,4,2006,0.027,NE
4.5,4,2007,0.031,NE
4.5,4,2008,0.036,NE
4.5,4,2009,0.058,NE
4.5,4,2010,0.056,NE
4.5,4,2011,0.055,NE
4.5,4,2012,0.057,NE
4.5,4,2013,0.051,NE
4.5,4,2014,0.048,NE
4.5,4,2015,0.023,NE
4.5,4,2016,0.019,NE
4.5,4,2017,0.013,NE
4.5,6,2002,0.04,OK
4.5,6,2003,0.048,OK
4.5,6,2004,0.048,OK
4.5,6,2005,0.043,OK
4.5,6,2006,0.035,OK
4.5,6,2007,0.029,OK
4.5,6,2008,0.055,OK
4.5,6,2009,0.067,OK
4.5,6,2010,0.086,OK
4.5,6,2011,0.068,OK
4.5,6,2012,0.072,OK
4.5,6,2013,0.063,OK
4.5,6,2014,0.038,OK
4.5,6,2015,0.03,OK
4.5,6,2016,0.031,OK
4.5,6,2017,0.031,OK
5,3,2002,0.032,IA
5,3,2003,0.026,IA
5,3,2004,0.029,IA
5,3,2005,0.022,IA
5,3,2006,0.022,IA
5,3,2007,0.026,IA
5,3,2008,0.023,IA
5,3,2009,0.045,IA
5,3,2010,0.064,IA
5,3,2011,0.056,IA
5,3,2012,0.05,IA
5,3,2013,0.054,IA
5,3,2014,0.05,IA
5,3,2015,0.037,IA
5,3,2016,0.024,IA
5,3,2017,0.017,IA
5,5,2002,0.031,KS
5,5,2003,0.03,KS
5,5,2004,0.029,KS
5,5,2005,0.035,KS
5,5,2006,0.029,KS
5,5,2007,0.031,KS
5,5,2008,0.039,KS
5,5,2009,0.058,KS
5,5,2010,0.077,KS
5,5,2011,0.07,KS
5,5,2012,0.056,KS
5,5,2013,0.045,KS
5,5,2014,0.049,KS
5,5,2015,0.041,KS
5,5,2016,0.044,KS
5,5,2017,0.032,KS
5.5,2,2002,0.022,WI
5.5,2,2003,0.027,WI
5.5,2,2004,0.027,WI
5.5,2,2005,0.015,WI
5.5,2,2006,0.019,WI
5.5,2,2007,0.018,WI
5.5,2,2008,0.03,WI
5.5,2,2009,0.059,WI
5.5,2,2010,0.055,WI
5.5,2,2011,0.046,WI
5.5,2,2012,0.054,WI
5.5,2,2013,0.053,WI
5.5,2,2014,0.04,WI
5.5,2,2015,0.034,WI
5.5,2,2016,0.026,WI
5.5,2,2017,0.027,WI
5.5,4,2002,0.03,MO
5.5,4,2003,0.037,MO
5.5,4,2004,0.026,MO
5.5,4,2005,0.035,MO
5.5,4,2006,0.023,MO
5.5,4,2007,0.021,MO
5.5,4,2008,0.031,MO
5.5,4,2009,0.057,MO
5.5,4,2010,0.08,MO
5.5,4,2011,0.071,MO
5.5,4,2012,0.063,MO
5.5,4,2013,0.047,MO
5.5,4,2014,0.046,MO
5.5,4,2015,0.036,MO
5.5,4,2016,0.027,MO
5.5,4,2017,0.02,MO
5.5,6,2002,0.052,LA
5.5,6,2003,0.044,LA
5.5,6,2004,0.051,LA
5.5,6,2005,0.038,LA
5.5,6,2006,0.033,LA
5.5,6,2007,0.043,LA
5.5,6,2008,0.05,LA
5.5,6,2009,0.07,LA
5.5,6,2010,0.089,LA
